assign(AMAT208, L01, M11-2-SS171)
assign(AMAT258, L01, M11-2-SS171)
assign(AMAT441, L02, M11-2-SS297)
assign(AMAT441, L01, M11-2-SS297)
assign(AMAT460, L02, M11-2-SS297)
assign(AMAT460, L01, M11-2-SS297)
assign(AMAT530, L02, M11-2-SS171)
assign(AMAT530, L01, M11-3-EDU272)
assign(ASTR250, L02, M11-3-EDU272)
assign(ASTR250, L01, M12-2-KNES38)
assign(ASTR385, L01, M12-2-KNES38)
assign(ASTR538, L03, M12-2-KNES38)
assign(ASTR538, L02, M12-3-EDU162)
assign(ASTR538, L01, M12-3-EDU162)
assign(ASTR572, L02, M12-3-EDU162)
assign(ASTR572, L01, M14-2-SS297)
assign(BIOL279, L01, M12-3-EDU162)
assign(BIOL390, L02, M14-2-SS297)
assign(BIOL390, L01, M14-2-SS297)
assign(CPSC229, L03, M14-2-SS297)
assign(CPSC229, L02, M14-3-SS171)
assign(CPSC229, L01, M14-3-SS171)
assign(CPSC262, L03, M14-3-SS171)
assign(CPSC262, L02, M15-3-EDU272)
assign(CPSC262, L01, M15-3-EDU272)
assign(CPSC265, L03, M15-3-KNES38)
assign(CPSC265, L02, M15-3-KNES38)
assign(CPSC265, L01, M15-3-KNES38)
assign(CPSC270, L03, M16-2-EDU162)
assign(CPSC270, L02, M16-2-EDU162)
assign(CPSC270, L01, M16-2-EDU162)
assign(CPSC272, L02, M17-3-SS297)
assign(CPSC272, L01, M17-3-SS297)
assign(CPSC286, L03, M17-3-SS297)
assign(CPSC286, L02, M8-2-EDU272)
assign(CPSC286, L01, M8-2-EDU272)
assign(CPSC295, L02, M8-2-SS171)
assign(CPSC295, L01, M16-2-EDU162)
assign(CPSC308, L02, M12-2-KNES38)
assign(CPSC308, L01, M17-3-SS297)
assign(CPSC321, L02, M8-2-SS171)
assign(CPSC321, L01, M8-2-SS297)
assign(CPSC336, L03, M8-2-SS297)
assign(CPSC336, L02, M8-2-SS297)
assign(CPSC336, L01, M8-2-SS171)
assign(CPSC350, L03, M8-3-EDU162)
assign(CPSC350, L02, M8-3-EDU162)
assign(CPSC350, L01, M8-2-SS297)
assign(CPSC366, L01, M8-3-EDU162)
assign(CPSC392, L02, M8-3-EDU162)
assign(CPSC392, L01, M8-3-KNES38)
assign(CPSC395, L01, M8-3-KNES38)
assign(CPSC396, L03, M8-3-KNES38)
assign(CPSC396, L02, T11-2-SS297)
assign(CPSC396, L01, T11-2-SS297)
assign(CPSC417, L02, T11-2-SS297)
assign(CPSC417, L01, T11-3-EDU162)
assign(CPSC471, L03, T11-3-EDU162)
assign(CPSC471, L02, T11-2-SS297)
assign(CPSC471, L01, T11-3-EDU162)
assign(CPSC563, L01, T12-3-EDU272)
assign(CPSC578, L02, T11-3-EDU162)
assign(CPSC578, L01, T12-3-EDU272)
assign(GLGY456, L01, T12-3-KNES38)
assign(GLGY460, L01, T12-3-KNES38)
assign(GLGY514, L02, T12-3-KNES38)
assign(GLGY514, L01, T12-3-SS171)
assign(GOPH244, L02, T12-3-SS171)
assign(GOPH244, L01, T12-3-SS171)
assign(GOPH288, L03, T14-2-SS297)
assign(GOPH288, L02, T14-2-SS297)
assign(GOPH288, L01, T14-2-SS297)
assign(GOPH302, L01, T14-2-SS297)
assign(GOPH586, L02, T15-2-EDU162)
assign(GOPH586, L01, T15-2-EDU162)
assign(PHIL314, L02, T14-2-SS297)
assign(PHIL314, L01, T15-2-EDU162)
assign(PHIL481, L02, T15-2-EDU162)
assign(PHIL481, L01, T15-2-EDU162)
assign(PHIL510, L01, T16-2-EDU272)
assign(PHYS215, L03, T16-2-EDU272)
assign(PHYS215, L02, T16-2-KNES38)
assign(PHYS215, L01, M8-3-KNES38)
assign(PHYS365, L01, T16-2-KNES38)
assign(PHYS414, L01, T16-2-KNES38)
assign(PHYS471, L02, T16-3-SS171)
assign(PHYS471, L01, T16-3-SS171)
assign(PHYS487, L01, T16-3-SS171)
assign(PMAT235, L03, T17-3-SS297)
assign(PMAT235, L02, T17-3-SS297)
assign(PMAT235, L01, T17-3-SS297)
assign(PMAT258, L01, T17-3-SS297)
assign(PMAT361, L01, T8-2-EDU162)
assign(PMAT470, L03, T8-2-EDU162)
assign(PMAT470, L02, T8-2-EDU162)
assign(PMAT470, L01, T8-2-EDU162)
assign(SENG335, L02, T8-2-SS297)
assign(SENG335, L01, T8-2-SS297)
assign(SENG505, L01, T8-2-SS297)
assign(SENG538, L02, T16-3-SS171)
assign(SENG538, L01, T8-2-SS297)
assign(STAT217, L02, T8-3-EDU272)
assign(STAT217, L01, T8-3-EDU272)
assign(STAT285, L01, T8-3-KNES38)
assign(STAT289, L01, T8-3-EDU272)
assign(STAT370, L01, T8-3-KNES38)
assign(STAT393, L03, T8-3-KNES38)
assign(STAT393, L02, T8-3-SS171)
assign(STAT393, L01, T8-3-SS171)
assign(STAT473, L03, T8-3-SS171)
assign(STAT473, L02, W11-3-KNES38)
assign(STAT473, L01, W11-3-KNES38)
assign(STAT495, L03, W11-3-KNES38)
assign(STAT495, L02, W12-2-EDU272)
assign(STAT495, L01, T16-2-EDU272)
assign(STAT583, L01, W12-3-EDU162)
//Goodness: -250
